"election_date","office_name","district_name","candidate_name","candidate_party_name","county_name","votes","is_winner","pct"
"2000","President of the United States","New Mexico","Al Gore","Democratic","Bernalillo",99461,TRUE,48.7
"2000","President of the United States","New Mexico","George W. Bush","Republican","Bernalillo",95249,FALSE,46.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Bernalillo",8274,FALSE,4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Bernalillo",713,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Bernalillo",397,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Bernalillo",119,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Bernalillo",106,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Catron",1273,TRUE,74.4
"2000","President of the United States","New Mexico","Al Gore","Democratic","Catron",353,FALSE,20.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Catron",57,FALSE,3.3
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Catron",14,FALSE,0.8
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Catron",11,FALSE,0.6
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Catron",3,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Catron",0,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Chaves",11378,TRUE,62.7
"2000","President of the United States","New Mexico","Al Gore","Democratic","Chaves",6340,FALSE,34.9
"2000","President of the United States","New Mexico","Ralph Nader","Green","Chaves",307,FALSE,1.7
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Chaves",56,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Chaves",51,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Chaves",9,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Chaves",8,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Cibola",4127,TRUE,58.2
"2000","President of the United States","New Mexico","George W. Bush","Republican","Cibola",2752,FALSE,38.8
"2000","President of the United States","New Mexico","Ralph Nader","Green","Cibola",164,FALSE,2.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Cibola",29,FALSE,0.4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Cibola",8,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Cibola",5,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Cibola",3,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Colfax",2653,TRUE,48.6
"2000","President of the United States","New Mexico","George W. Bush","Republican","Colfax",2600,FALSE,47.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Colfax",163,FALSE,3
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Colfax",20,FALSE,0.4
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Colfax",20,FALSE,0.4
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Colfax",3,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Colfax",2,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Curry",8301,TRUE,69.4
"2000","President of the United States","New Mexico","Al Gore","Democratic","Curry",3471,FALSE,29
"2000","President of the United States","New Mexico","Ralph Nader","Green","Curry",147,FALSE,1.2
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Curry",23,FALSE,0.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Curry",19,FALSE,0.2
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Curry",4,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Curry",4,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","De Baca",612,TRUE,62.3
"2000","President of the United States","New Mexico","Al Gore","Democratic","De Baca",349,FALSE,35.5
"2000","President of the United States","New Mexico","Ralph Nader","Green","De Baca",12,FALSE,1.2
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","De Baca",7,FALSE,0.7
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","De Baca",2,FALSE,0.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","De Baca",0,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","De Baca",0,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Dona Ana",23912,TRUE,51.3
"2000","President of the United States","New Mexico","George W. Bush","Republican","Dona Ana",21263,FALSE,45.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Dona Ana",1158,FALSE,2.5
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Dona Ana",155,FALSE,0.3
