"election_date","office_name","district_name","candidate_name","candidate_party_name","votes","is_winner","pct"
"2000","State Representative","1","James Nicholas Tinnin, Jr.","Republican",4943,TRUE,56.5
"2000","State Representative","1","Jerry Sandel","Democratic",3800,FALSE,43.5
"2000","State Representative","10","Henry ""Kiki"" Saavedra","Democratic",3194,TRUE,72.2
"2000","State Representative","10","David W. Ware","Republican",1231,FALSE,27.8
"2000","State Representative","11","Rick Miera","Democratic",5578,TRUE,78.6
"2000","State Representative","11","Harold E. Davis De Garcia","Republican",1516,FALSE,21.4
"2000","State Representative","12","James G. Taylor","Democratic",3903,TRUE,66.6
"2000","State Representative","12","Frank K. Hass","Republican",1502,FALSE,25.6
"2000","State Representative","12","Allen F. Cooper","Green",459,FALSE,7.8
"2000","State Representative","13","Daniel P. Silva","Democratic",4608,TRUE,67.8
"2000","State Representative","13","Stephen R. Ulibarri","Republican",2192,FALSE,32.2
"2000","State Representative","14","Miguel P. Garcia","Democratic",4491,TRUE,78.2
"2000","State Representative","14","Gwen J. Poe","Republican",1250,FALSE,21.8
"2000","State Representative","15","John А. Sanchez","Republican",5083,TRUE,51
"2000","State Representative","15","Raymond G. Sanchez","Democratic",4877,FALSE,49
"2000","State Representative","16","Ray Ruiz","Democratic",8226,TRUE,100
"2000","State Representative","17","Edward C. Sandoval","Democratic",4721,TRUE,69.2
"2000","State Representative","17","Glenn R. Garcia","Republican",2106,FALSE,30.8
"2000","State Representative","18","Gail C. Beam","Democratic",6864,TRUE,100
"2000","State Representative","19","Sheryl M. Williams Stapleton","Democratic",5174,TRUE,100
"2000","State Representative","2","Thomas C. Taylor","Republican",6601,TRUE,98.5
"2000","State Representative","2","Destri C. Gleim","",102,FALSE,1.5
"2000","State Representative","20","Ted Hobbs","Republican",6092,TRUE,100
"2000","State Representative","21","Mimi Stewart","Democratic",4101,TRUE,54
"2000","State Representative","21","Gregory B. Mortensen","Republican",3496,FALSE,46
"2000","State Representative","22","Ron Godbey","Republican",8431,TRUE,100
"2000","State Representative","23","Robert M. Burpo","Republican",11369,TRUE,100
"2000","State Representative","24","George D. Buffet","Republican",7405,TRUE,100
"2000","State Representative","25","Danice R. Picraux","Democratic",5629,TRUE,69.4
"2000","State Representative","25","Matthew S. Pollard","Republican",2481,FALSE,30.6
"2000","State Representative","26","Al Park","Democratic",2683,TRUE,51.8
"2000","State Representative","26","Art Hawkins","Republican",2493,FALSE,48.2
"2000","State Representative","27","Lorenzo A. Larranaga","Republican",6470,TRUE,100
"2000","State Representative","28","Joe Mohorovic","Republican",5144,TRUE,58.6
"2000","State Representative","28","Karen L. Hopkins","Democratic",3629,FALSE,41.4
"2000","State Representative","29","William W. Fuller","Republican",9736,TRUE,59.7
"2000","State Representative","29","Joann B. Anders","Democratic",6580,FALSE,40.3
"2000","State Representative","3","Sandra L. Townsend","Republican",6540,TRUE,76.4
"2000","State Representative","3","Clyde B. Vicenti","Democratic",2023,FALSE,23.6
"2000","State Representative","30","Pauline K. Gubbels","Republican",5076,TRUE,53.6
"2000","State Representative","30","Terry Brunner","Democratic",4397,FALSE,46.4
"2000","State Representative","31","Joseph M. Thompson","Republican",11124,TRUE,100
"2000","State Representative","32","Dona G. Irwin","Democratic",4307,TRUE,58.6
"2000","State Representative","32","Mary Kay Reese","Republican",3048,FALSE,41.4
"2000","State Representative","33","J. Paul Taylor","Democratic",4874,TRUE,69.2
"2000","State Representative","33","James L. Bawcum","Republican",2173,FALSE,30.8
"2000","State Representative","34","Mary Helen Garcia","Democratic",3831,TRUE,100
"2000","State Representative","35","Benjamin B. Rios","Democratic",4058,TRUE,65
"2000","State Representative","35","Allen D. Crawford","Republican",2187,FALSE,35
"2000","State Representative","36","Andrew ""Andy"" Nuñez","Democratic",4061,TRUE,50.2
"2000","State Representative","36","E.G. (SMOKEY) Blanton","Republican",4027,FALSE,49.8
"2000","State Representative","37","William E. Boykin","Republican",5811,TRUE,65.6
"2000","State Representative","37","David W. Pruett","Independent",3044,FALSE,34.4
"2000","State Representative","38","Dianne Hamilton","Republican",6622,TRUE,100
"2000","State Representative","39","Manuel G. Herrera","Democratic",5006,TRUE,65.6
"2000","State Representative","39","Garry W. Klassen","Republican",2627,FALSE,34.4
"2000","State Representative","4","Ray Begaye","Democratic",4297,TRUE,68.7
"2000","State Representative","4","Verlin A. Hammons","Republican",1956,FALSE,31.3
"2000","State Representative","40","Nick L. Salazar","Democratic",6216,TRUE,100
"2000","State Representative","41","Debbie А. Rodella","Democratic",5128,TRUE,66.4
"2000","State Representative","41","Michael W. Naranjo","Republican",2600,FALSE,33.6
"2000","State Representative","42","Roberto ""Bobby"" J. Gonzales","Democratic",7523,TRUE,100
"2000","State Representative","43","Jeannette O. Wallace","Republican",8849,TRUE,83.7
"2000","State Representative","43","Gary W. Miles","Libertarian",1721,FALSE,16.3
"2000","State Representative","44","Judy Vanderstar Russell","Republican",6962,TRUE,55.8
"2000","State Representative","44","Victor L. Scherzinger","Democratic",5525,FALSE,44.2
"2000","State Representative","45","Patsy G. Trujillo","Democratic",6758,TRUE,100
"2000","State Representative","46","Ben Lujan","Democratic",5933,TRUE,63.3
"2000","State Representative","46","Robb Young Hirsch","Independent",3445,FALSE,36.7
"2000","State Representative","47","Max Coll","Democratic",9758,TRUE,71.2
"2000","State Representative","47","F. Gregg Bemis, JR.","Republican",3948,FALSE,28.8
"2000","State Representative","48","Luciano ""LUCKY"" Varela","Democratic",7586,TRUE,100
"2000","State Representative","49","Don Tripp","Republican",6847,TRUE,61.3
"2000","State Representative","49","Michael Olguin","Democratic",4326,FALSE,38.7
"2000","State Representative","5","Patricia ""Patty"" А. Lundstrom","Democratic",4087,TRUE,67.4
"2000","State Representative","5","Daniel J. Kruis","Republican",1981,FALSE,32.6
"2000","State Representative","50","Rhonda S. King","Democratic",6709,TRUE,59.6
"2000","State Representative","50","Teresa Kirchner","Republican",4540,FALSE,40.4
"2000","State Representative","51","Gloria C. Vaughn","Republican",2475,TRUE,54.6
"2000","State Representative","51","Inez M. Moncada","Democratic",2054,FALSE,45.4
"2000","State Representative","52","Delores C. Wright","Democratic",3136,TRUE,50.5
"2000","State Representative","52","Jan D. Thomas","Republican",3075,FALSE,49.5
"2000","State Representative","53","Terry T. Marquardt","Republican",6437,TRUE,97.5
"2000","State Representative","53","Pamela A. Hansmire","",165,FALSE,2.5
"2000","State Representative","54","Joe M. Stell","Democratic",4857,TRUE,100
"2000","State Representative","55","John A. Heaton","Democratic",5092,TRUE,59
"2000","State Representative","55","Bob Martin","Republican",3541,FALSE,41
"2000","State Representative","56","Dub Williams","Republican",6788,TRUE,71.4
"2000","State Representative","56","Jeni (Bebe) Flores Alexander","Democratic",2714,FALSE,28.6
"2000","State Representative","57","Daniel Foley","Republican",6985,TRUE,100
"2000","State Representative","58","Pauline J. Ponce","Democratic",2454,TRUE,50.2
"2000","State Representative","58","Dara Dana","Republican",2434,FALSE,49.8
"2000","State Representative","59","Avon W. Wilson","Republican",4572,TRUE,69.7
"2000","State Representative","59","Alfredo Dominguez, III","Democratic",1984,FALSE,30.3
"2000","State Representative","6","George J. Hanosh","Democratic",4691,TRUE,100
"2000","State Representative","60","Marsha C. Atkin","Republican",5104,TRUE,57.5
"2000","State Representative","60","James L. Moran","Democratic",3773,FALSE,42.5
"2000","State Representative","61","Donald L. Whitaker","Democratic",2420,TRUE,65.2
"2000","State Representative","61","Johnny H. Small, Jr.","Republican",1294,FALSE,34.8
"2000","State Representative","62","Donald E. Bratton","Republican",4765,TRUE,65.9
"2000","State Representative","62","Garry A. Buie","Democratic",2469,FALSE,34.1
"2000","State Representative","63","Mario Urioste","Democratic",2134,TRUE,53.6
"2000","State Representative","63","Ronald G. Hannaberry","Republican",1847,FALSE,46.4
"2000","State Representative","64","Anna M. Crook","Republican",6466,TRUE,100
"2000","State Representative","65","James R. Madalena","Democratic",5246,TRUE,77.3
"2000","State Representative","65","Charles D. Mellon","Libertarian",1543,FALSE,22.7
"2000","State Representative","66","Earlene Roberts","Republican",5607,TRUE,100
"2000","State Representative","67","Brian K. Moore","Republican",5227,TRUE,64.8
"2000","State Representative","67","Charlie Maciel, Jr.","Democratic",2840,FALSE,35.2
"2000","State Representative","68","Bengie Regensberg","Democratic",5171,TRUE,57.6
"2000","State Representative","68","Susan S. Medina","Republican",3807,FALSE,42.4
"2000","State Representative","69","W. Ken Martinez","Democratic",5598,TRUE,100
"2000","State Representative","7","Kandy Cordova","Democratic",5285,TRUE,50.2
"2000","State Representative","7","P. David Vickers","Republican",5248,FALSE,49.8
"2000","State Representative","70","Richard D. Vigil","Democratic",6049,TRUE,100
"2000","State Representative","8","Fred Luna","Democratic",4432,TRUE,49.1
"2000","State Representative","8","Jackie Farnsworth","Republican",4097,FALSE,45.4
"2000","State Representative","8","Richard Allen Winecoff","Green",493,FALSE,5.5
"2000","State Representative","9","Leo C. Watchman, Jr.","Democratic",4727,TRUE,100
"2000","State Senate","1","William E. Sharer","Republican",10232,TRUE,81.8
"2000","State Senate","1","Ronald E. Barrett","Libertarian",2276,FALSE,18.2
"2000","State Senate","10","Ramsay L. Gorham","Republican",9209,TRUE,53.8
"2000","State Senate","10","Janice D. Paster","Democratic",7907,FALSE,46.2
"2000","State Senate","11","Linda M. Lopez","Democratic",6976,TRUE,68.1
"2000","State Senate","11","Richard Ray Sanchez","Republican",3262,FALSE,31.9
"2000","State Senate","12","Richard M. Romero","Democratic",7826,TRUE,74.1
"2000","State Senate","12","Carlton R. Pennington","Republican",2742,FALSE,25.9
"2000","State Senate","13","Dede Feldman","Democratic",10229,TRUE,100
"2000","State Senate","14","Manny M. Aragon","Democratic",4573,TRUE,55.4
"2000","State Senate","14","Bill M. Paiz","Republican",3682,FALSE,44.6
"2000","State Senate","14","Hector Correa","",3,FALSE,0
"2000","State Senate","15","Helen Diane Snyder","Republican",7958,TRUE,53.5
"2000","State Senate","15","Andrew D. Mills","Democratic",6917,FALSE,46.5
"2000","State Senate","16","Cisco McSorley","Democratic",11084,TRUE,100
"2000","State Senate","17","Shannon Robinson","Democratic",5169,TRUE,59.1
"2000","State Senate","17","Mary A. Gilbert","Republican",3584,FALSE,40.9
"2000","State Senate","18","Mark L. Boitano","Republican",10971,TRUE,100
"2000","State Senate","19","Sue Wilson","Republican",12917,TRUE,100
"2000","State Senate","2","Allen V. Hurt","Republican",9234,TRUE,65.3
"2000","State Senate","2","Darla Whitney-Welles","Democratic",4899,FALSE,34.7
"2000","State Senate","20","William H. Payne","Republican",12228,TRUE,100
"2000","State Senate","21","Kent L. Cravens","Republican",17866,TRUE,100
"2000","State Senate","22","Leonard Tsosie","Democratic",9229,TRUE,100
"2000","State Senate","23","Joseph J. Carraro","Republican",15571,TRUE,82.7
"2000","State Senate","23","Ronald E. Bjornstad","Libertarian",3258,FALSE,17.3
"2000","State Senate","24","Nancy Rodriguez","Democratic",11075,TRUE,100
"2000","State Senate","25","Roman M. Maes, III","Democratic",12720,TRUE,62.5
"2000","State Senate","25","Ann Tyner Gleason","Green",7638,FALSE,37.5
"2000","State Senate","26","Bernadette M. Sanchez","Democratic",9487,TRUE,63.9
"2000","State Senate","26","Jerry T. Daniele","Republican",5368,FALSE,36.1
"2000","State Senate","27","Stuart Ingle","Republican",6221,TRUE,100
"2000","State Senate","28","Ben D. Altamirano","Democratic",9339,TRUE,60.8
"2000","State Senate","28","Richard J. Choate","Republican",6017,FALSE,39.2
"2000","State Senate","29","Michael S. Sanchez","Democratic",8597,TRUE,51.2
"2000","State Senate","29","David C. Chavez","Republican",7541,FALSE,44.9
"2000","State Senate","29","Alfred Bennett, III","Independent",641,FALSE,3.8
"2000","State Senate","3","John Pinto","Democratic",8080,TRUE,77.6
"2000","State Senate","3","Jimmie Garnenez, Sr.","Republican",2327,FALSE,22.4
"2000","State Senate","30","Joseph A. Fidel","Democratic",10498,TRUE,100
"2000","State Senate","31","Cynthia L. Nava","Democratic",5466,TRUE,59.3
"2000","State Senate","31","Samuel Reyes","Republican",3759,FALSE,40.7
"2000","State Senate","32","Timothy Z. Jennings","Democratic",4928,TRUE,59.2
"2000","State Senate","32","Henry Zuniga","Republican",3398,FALSE,40.8
"2000","State Senate","33","Rod Adair","Republican",10326,TRUE,100
"2000","State Senate","34","Don Kidd","Republican",9955,TRUE,100
"2000","State Senate","35","John Arthur Smith","Democratic",9346,TRUE,100
"2000","State Senate","36","Mary Jane M. Garcia","Democratic",6876,TRUE,58.5
"2000","State Senate","36","John S. Townsend, III","Republican",4875,FALSE,41.5
"2000","State Senate","37","Leonard Lee Rawson","Republican",9050,TRUE,71.3
"2000","State Senate","37","Vincent Dovydaitis, Jr.","Independent",3645,FALSE,28.7
"2000","State Senate","38","Mary K. Papen","Democratic",6560,TRUE,59.2
"2000","State Senate","38","Narendra N. Gunaji","Republican",4514,FALSE,40.8
"2000","State Senate","39","Phil A. Griego","Democratic",9108,TRUE,56.1
"2000","State Senate","39","Robert H. Skigen","Republican",7118,FALSE,43.9
"2000","State Senate","4","Lidio G. Rainaldi","Democratic",6862,TRUE,100
"2000","State Senate","40","Dianna J. Duran","Republican",9186,TRUE,69.1
"2000","State Senate","40","Mable M. Frary","Democratic",4104,FALSE,30.9
"2000","State Senate","41","Carroll H. Leavell","Republican",4574,TRUE,100
"2000","State Senate","42","Shirley M. Bailey","Republican",9149,TRUE,92.6
"2000","State Senate","42","John D. Norris","",726,FALSE,7.4
"2000","State Senate","5","Richard C. Martinez","Democratic",10751,TRUE,100
"2000","State Senate","6","Carlos R. Cisneros","Democratic",11745,TRUE,100
"2000","State Senate","7","Patrick H. Lyons","Republican",10489,TRUE,68.8
"2000","State Senate","7","Al Lopez","Democratic",4761,FALSE,31.2
"2000","State Senate","8","Pete Campos","Democratic",10796,TRUE,100
"2000","State Senate","9","Steve Komadina","Republican",11703,TRUE,55.1
"2000","State Senate","9","Brad L. Hays","Democratic",9532,FALSE,44.9
"2000","United States Representative","1","Heather A. Wilson","Republican",107296,TRUE,50.3
"2000","United States Representative","1","John J. Kelly","Democratic",92187,FALSE,43.3
"2000","United States Representative","1","Daniel Kerlinsky","Green",13656,FALSE,6.4
"2000","United States Representative","2","Joe R. Skeen","Republican",100742,TRUE,58.1
"2000","United States Representative","2","Michael A. Montoya","Democratic",72614,FALSE,41.9
"2000","United States Representative","3","Tom Udall","Democratic",135040,TRUE,67.2
"2000","United States Representative","3","Lisa L. Lutz","Republican",65979,FALSE,32.8
"2002","Attorney General","New Mexico","Patricia A. Madrid","Democratic",273183,TRUE,57.1
"2002","Attorney General","New Mexico","Rob Perry","Republican",179718,FALSE,37.6
"2002","Attorney General","New Mexico","Ann Tyner Gleason","Green",25192,FALSE,5.3
"2002","Governor","New Mexico","Bill Richardson and Diane D. Denish","Democratic",268693,TRUE,55.5
"2002","Governor","New Mexico","John A. Sanchez and Rod Adair","Republican",189074,FALSE,39
"2002","Governor","New Mexico","David E. Bacon and Kathleen M. Sanchez","Green",26466,FALSE,5.5
"2002","State Auditor","New Mexico","Domingo P. Martinez","Democratic",238507,TRUE,52.2
"2002","State Auditor","New Mexico","Tom Benavides","Republican",218756,FALSE,47.8
"2002","State Representative","1","Thomas C. Taylor","Republican",6440,TRUE,100
"2002","State Representative","10","Henry ""Kiki"" Saavedra","Democratic",3369,TRUE,100
"2002","State Representative","11","Rick Miera","Democratic",5488,TRUE,79.5
"2002","State Representative","11","Harold E. Davis De Garcia","Republican",1416,FALSE,20.5
"2002","State Representative","12","James G. Taylor","Democratic",3680,TRUE,100
"2002","State Representative","13","Daniel P. Silva","Democratic",3885,TRUE,100
"2002","State Representative","14","Miguel P. Garcia","Democratic",3819,TRUE,75.5
"2002","State Representative","14","Jerry J. Sanchez","Republican",1238,FALSE,24.5
"2002","State Representative","15","Teresa А. Zanetti","Republican",4282,TRUE,51.4
"2002","State Representative","15","Steve P. Archibeque","Democratic",4056,FALSE,48.6
"2002","State Representative","16","Ray Ruiz","Democratic",5169,TRUE,100
"2002","State Representative","17","Edward C. Sandoval","Democratic",6237,TRUE,100
"2002","State Representative","18","Gail C. Beam","Democratic",5946,TRUE,100
"2002","State Representative","19","Sheryl M. Williams Stapleton","Democratic",3658,TRUE,71.4
"2002","State Representative","19","Donald L. Thompson","Green",1463,FALSE,28.6
"2002","State Representative","2","Nick Tinnin","Republican",4574,TRUE,100
"2002","State Representative","20","Ted Hobbs","Republican",5912,TRUE,66.2
"2002","State Representative","20","Christopher Spyros Catechis","Democratic",3014,FALSE,33.8
"2002","State Representative","21","Mimi Stewart","Democratic",3228,TRUE,60.5
"2002","State Representative","21","Armando M. Cordoba","Republican",2111,FALSE,39.5
"2002","State Representative","22","Ron Godbey","Republican",6294,TRUE,64.7
"2002","State Representative","22","Margaret Palumbo","Democratic",3438,FALSE,35.3
"2002","State Representative","23","Eric А. Youngberg","Republican",4926,TRUE,56
"2002","State Representative","23","Jim Southard","Democratic",3868,FALSE,44
"2002","State Representative","24","Janice E. Arnold-Jones","Republican",5361,TRUE,59
"2002","State Representative","24","Marilynn W. Cooper","Democratic",3733,FALSE,41
"2002","State Representative","25","Danice R. Picraux","Democratic",6433,TRUE,100
"2002","State Representative","26","Al Park","Democratic",3163,TRUE,100
"2002","State Representative","27","Lorenzo A. Larranaga","Republican",6802,TRUE,66
"2002","State Representative","27","John A. Ingram","Democratic",3506,FALSE,34
"2002","State Representative","28","Rory Ogle","Republican",5636,TRUE,61.7
"2002","State Representative","28","John В. Mondragon","Democratic",3501,FALSE,38.3
"2002","State Representative","29","Thomas Anthony Anderson","Republican",4697,TRUE,60.1
"2002","State Representative","29","Joann B. Anders","Democratic",3113,FALSE,39.9
